day,wind_spread,wind_mean,t2m_spread,n_valid_times,lear_mae
2023-06-14 00:00:00+00:00,0.1596,3.3246,0.3604,8,4.969
2023-06-15 00:00:00+00:00,0.1099,2.4615,0.2959,8,12.0841
2023-06-16 00:00:00+00:00,0.1087,2.6805,0.1979,8,11.3526
2023-06-17 00:00:00+00:00,0.1201,2.134,0.2239,8,8.8349
2023-06-18 00:00:00+00:00,0.1333,1.9368,0.2712,8,12.7207
2023-06-19 00:00:00+00:00,0.145,2.5964,0.2973,8,20.8625
2023-06-20 00:00:00+00:00,0.1917,2.4467,0.2991,8,10.6703
2023-06-21 00:00:00+00:00,0.244,2.6983,0.3068,8,9.8727
2023-06-22 00:00:00+00:00,0.2407,2.6494,0.3737,8,12.909
2023-06-23 00:00:00+00:00,0.2644,4.3929,0.3238,8,14.958
2023-06-24 00:00:00+00:00,0.1484,2.8836,0.3229,8,6.2268
2023-06-25 00:00:00+00:00,0.1106,1.7261,0.3144,8,11.4092
2023-06-26 00:00:00+00:00,0.2104,4.1123,0.3245,8,10.9527
2023-06-27 00:00:00+00:00,0.2072,4.7457,0.3344,8,11.8379
2023-06-28 00:00:00+00:00,0.1787,3.4122,0.2702,8,5.645
2023-06-29 00:00:00+00:00,0.1745,2.403,0.3619,8,5.5109
2023-06-30 00:00:00+00:00,0.1406,3.066,0.2603,8,13.3658
2023-07-01 00:00:00+00:00,0.219,4.4985,0.2698,8,13.941
2023-07-02 00:00:00+00:00,0.3478,6.5091,0.3873,8,52.0694
2023-07-03 00:00:00+00:00,0.324,5.9165,0.4352,8,26.1711
2023-07-04 00:00:00+00:00,0.3744,5.0288,0.3962,8,13.9943
2023-07-05 00:00:00+00:00,0.3122,5.3212,0.4108,8,19.836
2023-07-06 00:00:00+00:00,0.2138,3.6303,0.3132,8,10.6612
2023-07-07 00:00:00+00:00,0.1334,2.2567,0.3611,8,10.5014
2023-07-08 00:00:00+00:00,0.1421,2.3498,0.2592,8,11.3729
2023-07-09 00:00:00+00:00,0.1378,2.094,0.2764,8,20.0413
2023-07-10 00:00:00+00:00,0.2481,3.2826,0.3706,8,13.4006
2023-07-11 00:00:00+00:00,0.1688,3.0516,0.3269,8,7.9291
2023-07-12 00:00:00+00:00,0.2722,4.3886,0.3567,8,11.2881
